, fg_01, fg_02, fg_03, fg_04, fg_05, fg_06, fg_07, fg_08, fg_09, fg_10, fg_11, fg_12, fg_13, fg_14, fg_15, fg_16, fg_17, fg_18, fg_19, fg_20, fg_21, fg_22, fg_23, fg_24, fg_25, fg_26, fg_27, fg_28, fg_29, fg_30, fg_31, fg_32, fg_33, fg_34, fg_35, fg_36, fg_37, fg_38, fg_39, fg_40, fg_41, fg_42, fg_43, fg_44, fg_45, fg_46, fg_47, fg_48, fg_49, fg_50, fg_51, fg_52, fg_53, fg_54, fg_55, fg_56, fg_57, fg_58, fg_59, fg_60, fg_61, fg_62, fg_63, , 
aggregate, 0, 0.07547716395353322, 0, 0, 0.06485040618671783, 0.04312737870595629, 0, 0.046875465673814815, 0, 0.04063119190929901, 0.043512718000154556, 0, 0.05981259962103909, 0, 0, 0, 0, 0.02993125920227739, 0, 0, 0, 0.02045777404173085, 0.03264868537430605, 0.03455617529224946, 0.041272493632651265, 0.026830163370079128, 0, 0, 0, 0.04407820813094882, 0, 0.015899288854086202, 0.015106605907424868, 0, 0.043113380218718744, 0, 0, 0, 0.021739022881110223, 0.043820008429585895, 0.014754227728786855, 0.010967239171704208, 0.012050439068151392, 0.03793851371792264, 0.009487357027979513, 0.011122927885365685, 0.024673479919881728, 0.02472534604322523, 0.011357855931786023, 0.007381916431710272, 0.024144169936647978, 0, 0.04026091094661161, 0.04072737004087653, 0.013817749266982498, 0.012537580522225162, 0, 0, 0, 0, 0.007232937604921551, 0, 0, , 0.013837557386006784
analysis, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.30124121423444483, 0.42164127413598956, 0.11069752043237453, 0, 0, 0, 0.06136217493587951, 0, 0.04831067634445392, 0, 0, 0.04196806995092311, 0.13494941748563194, 0.08770892397032419, 0, 0, 0, 0.06912943146698536, 0.04690767658314997, 0, 0, 0, 0, 0, 0.08593881823790632, 0, 0, , 0.014628274950921458
analysis_java, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.07385719858451253, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.03689917347745817, 0, 0, 0, 0.020454058311959837, 0.06439570935688074, 0.016103558781484638, 0, 0, 0.04196806995092311, 0.019278488212233134, 0.012529846281474884, 0, 0, 0, 0.06912943146698536, 0.023453838291574984, 0, 0, 0, 0, 0, 0.012276974033986615, 0, 0, , 0.004348946607030704
app, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.45650623439056354, , 0.00039535878245733667
application_java, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.020503443124247157, 0, 0, , 0.00039535878245733667
architectural, 0, 0, 0, 0, 0, 0.045509413754359795, 0, 0.049464517118525994, 0, 0.04287535619867633, 0.04591603631992416, 0, 0, 0, 0, 0, 0, 0.031584438936403635, 0, 0, 0, 0.02158770904455058, 0.03445195548205213, 0.0364648009299478, 0.043552078650750406, 0.028312061677362377, 0, 0, 0, 0.046512759911955706, 0, 0.016777447101387562, 0.015940982255202657, 0, 0.04549464209499297, 0, 0, 0, 0.02293972452295841, 0.04624029918299064, 0.015569141331621782, 0.011572987744306772, 0.012716015531879829, 0.040033954527728864, 0.010011367937880777, 0.011737275542441037, 0.02603625910328527, 0.0260909899248167, 0.011985179263646567, 0.007789638491161362, 0.025477713980579467, 0, 0.04248462367465265, 0.042976846493598383, 0.014580938777488462, 0.013230063050081575, 0, 0, 0, 0, 0.007632431184053902, 0, 0, , 0.012651481038634773
builder_java, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.07816901360550768, 0, 0, 0, 0, 0, 0, 0.019884737955563638, 0.02184869130399772, 0, 0.017201558700295272, 0.02016701768205894, 0, 0, 0.020592966507314202, 0.01338417732633606, 0, 0, 0, 0, 0.025053007325537606, 0, 0, 0, 0, 0, 0.013114063318130227, 0, 0, , 0.0035582290421160303
business, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.039288106236136315, 0, 0, 0, 0.10741241382123186, 0.04285503028079514, 0.04535882292226268, 0, 0.10565271928850467, 0, 0, 0, 0, 0, 0.08347833886398318, 0.07931640078987308, 0, 0, 0, 0, 0, 0.11413954015778546, 0, 0.0774662586058686, 0.0575828841390336, 0.07908770678541928, 0, 0.062266055747339344, 0.05840031913978145, 0.09716005869546566, 0.12981906514612032, 0.0894506938275663, 0.05813751737646503, 0.031691908016425165, 0, 0, 0, 0.07254933011360876, 0.06582787475427249, 0, 0, 0, 0, 0.05696420971154095, 0, 0, , 0.03083798503167226
cell, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.06185468411011682, 0, 0, 0.05350822233544674, 0.06273276072103699, 0, 0, 0, 0.04163364196422163, 0, 0, 0, 0, 0, 0.07071133131738605, 0.4820700425963255, 0, 0.4820700425963255, 0, 0.040793408781937504, 0, 0, , 0.007907175649146734
channel_java, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.16248506941121432, 0, 0, 0.025431223409747246, 0.024163311536791982, 0, 0, 0, 0, 0, 0, 0, 0.023599675749814003, 0.017542313503667153, 0.019274912918444354, 0, 0.015175213077821003, 0.01779134064543668, 0, 0, 0.01816711264936474, 0.011807519675237563, 0, 0, 0, 0, 0.022101760138673803, 0.020054105199583092, 0, 0, 0, 0, 0.011569225128723158, 0, 0, , 0.005139664171945377
