, archinaut_1, archinaut_2, archinaut_3, archinaut_4, archinaut_5, archinaut_6, archinaut_7, archinaut_8, archinaut_9, archinaut_10, archinaut_11, archinaut_12, archinaut_13, archinaut_14, archinaut_15, archinaut_16, archinaut_17, archinaut_18, archinaut_19, archinaut_20, archinaut_21, archinaut_22, archinaut_23, archinaut_24, archinaut_25, archinaut_26, archinaut_27, archinaut_28, archinaut_29, archinaut_30, archinaut_31, archinaut_32, archinaut_33, archinaut_34, archinaut_35, archinaut_36, archinaut_37, archinaut_38, archinaut_39, archinaut_40, archinaut_41, archinaut_42, archinaut_43, archinaut_44, archinaut_45, archinaut_46, archinaut_47, archinaut_48, , overall
aggregate, 0.019361682249307482, 0.026649869716013276, 0.02875766405759887, 0.031498329648248516, 0.030646717350408, 0.03123145950315805, 0.034592687957886, 0.038167172421949086, 0.03976773105706685, 0.03928635981702506, 0.041536486034709164, 0.049645769492816, 0.04989752494557264, 0.05728269058238763, 0.05808841190252664, 0.06041538013283517, 0.06474408397842453, 0.07091076095801656, 0.08159327441437371, 0.08589645950778263, 0.09365971393465915, 0.09957034570529089, 0.09572566330701875, 0.09717652181449002, 0.09116918438037093, 0.10371229382849056, 0.1052572816867907, 0.1077712656672133, 0.10883156554355419, 0.10156009273408736, 0.11177849520934202, 0.11854216510634492, 0.1155888009024816, 0.14103096595960496, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0.06456554926611646
analysis, 0.26967794498682846, 0.18559549750482635, 0.40054927282737685, 0, 0, 0.2175026867319927, 0, 0.1993533766625056, 0, 0, 0, 0, 0.3474972322648342, 0, 0, 0.2103729333798436, 0, 0, 0, 0, 0.16306666213660562, 0, 0.3333271849875184, 0, 0, 0, 0, 0.18763564213798595, 0, 0, 0, 0, 0, 0, 0, 0, 0.5734018809883193, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.42169767995360724, , 0.0759594697248429
app, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.691307937828901, 0, 0, 0, 0, 0, 0, , 0.0018989867431210723
application, 0.06082683391631573, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0.0018989867431210723
architectural, 0.020659907603102087, 0.02843677728402116, 0.03068590190980399, 0.033610332604654805, 0.03270161862203174, 0.03332556847782937, 0.036912171563936766, 0.04072632974530598, 0.04243420786710829, 0.041920560074834974, 0.04432156010954704, 0.052974581309595085, 0.05324321728479374, 0.06112356764513805, 0.06198331360179514, 0.06446630800354697, 0.06908525693264983, 0.0756654174257343, 0.08706420695938279, 0.09165592607160271, 0.09993971655496212, 0.10624666368304955, 0.10214419045325485, 0.10369233086396751, 0.09728219383499133, 0.11066633468168957, 0.11231491593560086, 0.11499746573072869, 0.11612886005869659, 0.10836982577398577, 0.11927338509655556, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0.05886858903675324
builder, 0.03903702950678239, 0.05373147524374472, 0.057981210821842474, 0.06350694160043947, 0.06178992063237106, 0.06296887793457447, 0, 0.07695266438324948, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.20910475764799208, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0.015191893944968579
cell, 0.13473319776719203, 0.18544990671179648, 0, 0.21918915015690169, 0.21326298905847632, 0, 0.24072203065388706, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0.028484801146816084
channel, 0.03370974312335356, 0.046398874376206586, 0.050068659103422106, 0.054840307137833895, 0.05335760375332198, 0.05437567168299817, 0.060227753456101256, 0.06645112555416853, 0.06923778529524631, 0.0683996917535883, 0.07231728402767737, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.3658980951100484, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0.022787840917452867
character, 0.027468923665032015, 0.037808865339601386, 0.04079924815474504, 0.04468750191965887, 0.043479297338033726, 0.04430888628339471, 0.04907754877122982, 0.054148763122384855, 0.05641951740929762, 0.05573658347427125, 0.05892889623482503, 0.07043374821104269, 0.07079092023901949, 0, 0.08241154522771454, 0.08571287575603606, 0.09185412081790445, 0, 0.11575850680787854, 0.12186354775036075, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.3294048881227106, 0, 0, , 0.03608074811930037
check, 0.05078510233801232, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.15025075125005224, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5929360890716534, 0, 0, 0, 0, 0, , 0.005696960229363217
