, archinaut_1, archinaut_2, archinaut_3, archinaut_4, archinaut_5, archinaut_6, archinaut_7, archinaut_8, archinaut_9, archinaut_10, archinaut_11, archinaut_12, archinaut_13, archinaut_14, archinaut_15, archinaut_16, archinaut_17, archinaut_18, archinaut_19, archinaut_20, archinaut_21, archinaut_22, archinaut_23, archinaut_24, archinaut_25, archinaut_26, archinaut_27, archinaut_28, archinaut_29, archinaut_30, archinaut_31, archinaut_32, archinaut_33, archinaut_34, archinaut_35, archinaut_36, archinaut_37, archinaut_38, archinaut_39, archinaut_40, archinaut_41, archinaut_42, archinaut_43, archinaut_44, archinaut_45, archinaut_46, archinaut_47, archinaut_48, archinaut_49, archinaut_50, archinaut_51, archinaut_52, archinaut_53, archinaut_54, archinaut_55, archinaut_56, archinaut_57, archinaut_58, archinaut_59, archinaut_60, archinaut_61, archinaut_62, archinaut_63, , 
aggregate, 0.0209168308718412, 0.02101507827473778, 0.028278296823466224, 0.03239862423746884, 0.03354429854622557, 0.030563445800327493, 0.03289027676802349, 0.03666120700631625, 0.03992666604027455, 0.04154422981732135, 0.04082630554544314, 0.043155491133339094, 0.051421555524099896, 0.0521802350925299, 0.06019127977312212, 0.061102206029917484, 0.06274292922817261, 0.0668015820662777, 0.07325050684014334, 0.08429621401889863, 0.08903308376041263, 0.09572066593303526, 0.0936026661712639, 0.09919792032737076, 0.09900864468811767, 0.10137392566088414, 0.10318461890521746, 0.10801851586502763, 0.10654322883846437, 0.11095896672182227, 0.11010478357421469, 0.11368740796556084, 0.12101480966076202, 0.11844051186844715, 0.14330973897164223, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0.06206317649725841
analysis, 0.26765503982348504, 0.2689122289596385, 0.1809267548415889, 0, 0, 0.3910946334534042, 0.21043456324930035, 0, 0.19159044911916884, 0, 0, 0, 0, 0.3338532253586205, 0, 0, 0.2007170842956957, 0, 0, 0, 0, 0.15310707683929997, 0, 0, 0.3167325262994626, 0, 0, 0, 0, 0, 0.17611475426701756, 0, 0, 0, 0, 0, 0, 0, 0.5731800551721228, 0, 0.42323869014953563, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0.08511521348195439
app, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.6820603995220339, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0.0017732336142073832
application, 0.05929361976363194, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0.0017732336142073832
architectural, 0.0220721207534257, 0.0221757946107959, 0.0298401792323628, 0.03418808283127499, 0.035397035652183384, 0.03225154281157261, 0.03470689058420942, 0.03868609891085856, 0.042131917570219744, 0.043838823517497294, 0.04308124645824767, 0.045539078902759524, 0.05426169909825401, 0.055062282472960515, 0.06351579756970308, 0.06447703660541763, 0.06620838112776525, 0.07049120370675778, 0.07729631903281536, 0.08895210877220083, 0.09395060790280753, 0.10100756228404216, 0.09877257999709933, 0.1046768743013553, 0.10447714448612311, 0.10697306595561129, 0.10888376840289933, 0.11398465381237033, 0.11242788292313859, 0.11708751326456672, 0.11618615140458644, 0.11996665327241073, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0.05674347565463626
builder, 0.037924375883085164, 0.038102508577268906, 0.051271474375706186, 0.05874205376545389, 0.060819279679412794, 0.05541468561446043, 0.059633470609949474, 0, 0.07239117148995222, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.19317388389399975, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0.015959102527866448
cell, 0.11796988703415243, 0.11852399750586405, 0.15948818930660943, 0.18272663123654712, 0.18918817742440258, 0, 0, 0.20676738630100633, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.7616326328852199, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.693188615683451, 0, , 0.035464672284147666
channel, 0.03345687997793563, 0.033614028619954814, 0.045231688710397226, 0.051822232976147596, 0.05365476143501085, 0.04888682918167552, 0.05260864081232509, 0.05864031746357028, 0.06386348303972296, 0.06645080793023335, 0.06530247401939164, 0.06902805191109225, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.36641488633674224, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0.023052036984695982
character, 0.028073334136697475, 0.02820519599409249, 0.037953458648011626, 0.0434835185770045, 0.04502117492077005, 0.041020450544280274, 0.0441433855450926, 0.04920450523546998, 0.05358721135054501, 0.055758209848294785, 0.05479465432247109, 0.057920749555349337, 0.0690149726266696, 0.07003322750274137, 0, 0.08200776957452216, 0.08420985127861315, 0.0896571352370243, 0, 0.11313739624853572, 0.11949494284965852, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.3329370798442587, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0.035464672284147666
check, 0.04712760828618996, 0.04734896902421069, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.13561667504855962, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5687105417322653, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0.007092934456829533
