, fg_01, fg_02, fg_03, fg_04, fg_05, fg_06, fg_07, fg_08, fg_09, fg_10, , 
aggregate, 0, 0.19977209289549638, 0, 0, 0, 0, 0, 0, 0, 0, , 0.02598498501673715
analysis, 0, 0, 0, 0, 0, 0.2520082119449125, 0, 0, 0, 0, , 0.2078798801338972
app, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5516005314352489, , 0.02598498501673715
application, 0, 0, 0, 0, 0, 0, 0, 1.0, 0, 0, , 0.02598498501673715
architectural, 0, 0, 0, 0, 0, 0.031501026493114065, 0, 0, 0, 0, , 0.02598498501673715
builder, 0, 0, 0, 0, 0, 0.031501026493114065, 0, 0, 0, 0, , 0.02598498501673715
cell, 0, 0, 0, 0, 0, 0.0945030794793422, 0, 0, 0, 0, , 0.07795495505021144
channel, 0, 0, 0, 0, 0, 0.031501026493114065, 0, 0, 0, 0, , 0.02598498501673715
character, 0, 0, 0, 0, 0, 0.031501026493114065, 0, 0, 0, 0, , 0.02598498501673715
check, 0, 0, 0, 0, 0, 0.031501026493114065, 0, 0, 0, 0, , 0.02598498501673715
closable, 0, 0, 0, 0, 0, 0.031501026493114065, 0, 0, 0, 0, , 0.02598498501673715
color, 0, 0, 0, 0, 0, 0.06300205298622813, 0, 0, 0, 0, , 0.0519699700334743
component, 0, 0, 0, 0, 0, 0.031501026493114065, 0, 0, 0, 0, , 0.02598498501673715
constraint, 0, 0.16982453013528703, 0, 0, 0, 0.10711500180900245, 0, 0, 0, 0, , 0.12992492508368575
constraints, 0, 0, 0, 0, 0, 0.1890061589586844, 0, 0, 0, 0, , 0.15590991010042288
contents, 0, 0, 0, 0, 0, 0.031501026493114065, 0, 0, 0, 0, , 0.02598498501673715
controller, 0, 0, 0, 0, 0, 0.2520082119449125, 0, 0, 0, 0, , 0.2078798801338972
create, 0, 0, 0, 0, 0, 0.06300205298622813, 0, 0, 0, 0, , 0.0519699700334743
delta, 0, 0, 0, 0, 0, 0.0945030794793422, 0, 0, 0, 0, , 0.07795495505021144
dependency, 0, 0.33964906027057407, 0, 0, 0, 0.10711500180900245, 0, 0, 0, 0, , 0.15590991010042288
dependents, 0, 0, 0, 0, 0, 0, 0, 0, 0.62583987960545, 0, , 0.02598498501673715
design, 0, 0, 0, 0, 0, 0.34651129142425474, 0, 0, 0, 0, , 0.2858348351841086
details, 0, 0, 0, 0, 0, 0.0945030794793422, 0, 0, 0, 0, , 0.07795495505021144
diff, 0, 0, 0, 0, 0, 0.12600410597245626, 0, 0, 0, 0, , 0.1039399400669486
dsmtable, 0, 0, 0, 0, 0, 0.031501026493114065, 0, 0, 0, 0, , 0.02598498501673715
dsmtree, 0, 0, 0, 0, 0, 0.031501026493114065, 0, 0, 0, 0, , 0.02598498501673715
dto, 0, 0, 0, 0, 0, 0.15750513246557032, 0, 0, 0, 0, , 0.12992492508368575
element, 0.5852686054009509, 0.3217298955000509, 0.5339420971837264, 0, 0.4292602362938498, 0.10146384126911652, 0, 0, 0, 0.2961147354872206, , 0.33780480521758294
event, 0, 0, 0, 0, 0, 0.06300205298622813, 0, 0, 0, 0, , 0.0519699700334743
expanded, 0, 0, 0, 0, 0, 0.031501026493114065, 0, 0, 0, 0, , 0.02598498501673715
git, 0, 0, 0, 0, 0, 0.031501026493114065, 0, 0, 0, 0, , 0.02598498501673715
group, 0, 0.5993162786864892, 0, 0, 0, 0, 0, 0, 0, 0, , 0.07795495505021144
header, 0, 0, 0, 0, 0, 0.06300205298622813, 0, 0, 0, 0, , 0.0519699700334743
heatmap, 0, 0, 0, 0, 0, 0.06300205298622813, 0, 0, 0, 0, , 0.0519699700334743
hotspots, 0, 0, 0, 0, 0, 0.06300205298622813, 0, 0, 0, 0, , 0.0519699700334743
issue, 0, 0, 0, 0, 0, 0.031501026493114065, 0, 0, 0, 0, , 0.02598498501673715
jtable, 0, 0, 0, 0, 0, 0.031501026493114065, 0, 0, 0, 0, , 0.02598498501673715
jtree, 0, 0, 0, 0, 0, 0.06300205298622813, 0, 0, 0, 0, , 0.0519699700334743
listener, 0, 0, 0, 0, 0, 0.031501026493114065, 0, 0, 0, 0, , 0.02598498501673715
load, 0, 0, 0, 0, 0, 0.0945030794793422, 0, 0, 0, 0, , 0.07795495505021144
loader, 0, 0, 0, 0, 0, 0.15750513246557032, 0, 0, 0, 0, , 0.12992492508368575
log, 0, 0, 0, 0, 0, 0.06300205298622813, 0, 0, 0, 0, , 0.0519699700334743
main, 0, 0, 0, 0, 0, 0.06300205298622813, 0, 0, 0, 0, , 0.0519699700334743
manager, 0, 0, 0, 0, 0, 0.031501026493114065, 0, 0, 0, 0, , 0.02598498501673715
map, 0, 0, 0, 0, 0, 0.12600410597245626, 0, 0, 0, 0, , 0.1039399400669486
matrix, 0, 0.5943055848338488, 0, 0, 0.594703257324028, 0.30456714964493414, 0, 0, 0, 0, , 0.4677297303012687
message, 0, 0, 0, 1.0, 0, 0.0468564845607591, 0, 0, 0.4654555727358646, 0, , 0.1039399400669486
method, 0, 0, 0.845521044596197, 0, 0, 0, 0, 0, 0, 0.4689108459326631, , 0.0519699700334743
metric, 0.8108394782766968, 0, 0, 0, 0, 0.02342824228037955, 0, 0, 0, 0.41024158039027786, , 0.07795495505021144
metrics, 0, 0, 0, 0, 0, 0.06300205298622813, 0, 0, 0, 0, , 0.0519699700334743
model, 0, 0, 0, 0, 0, 0.2520082119449125, 0, 0, 0, 0, , 0.2078798801338972
mouse, 0, 0, 0, 0, 0, 0.031501026493114065, 0, 0, 0, 0, , 0.02598498501673715
