, fg_01, fg_02, fg_03, fg_04, fg_05, fg_06, fg_07, fg_08, fg_09, fg_10, , 
aggregate, 0, 0.14759459464140234, 0, 0, 0.12645483186602774, 0.023006823339748714, 0, 0.022972844578867856, 0, 0, , 0.04645513221824496
analysis, 0, 0, 0, 0, 0, 0.23662491976079644, 0, 0.23627544858660293, 0, 0, , 0.18582052887297984
app, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.6278711453731667, , 0.01161378305456124
application, 0, 0, 0, 0, 0, 0, 0, 0.03474265527657141, 0, 0, , 0.01161378305456124
architectural, 0, 0, 0, 0, 0, 0.029578114970099555, 0, 0.029534431073325366, 0, 0, , 0.02322756610912248
builder, 0, 0, 0, 0, 0, 0.029578114970099555, 0, 0.029534431073325366, 0, 0, , 0.02322756610912248
cell, 0, 0, 0, 0, 0, 0.08873434491029868, 0, 0.0886032932199761, 0, 0, , 0.06968269832736744
channel, 0, 0, 0, 0, 0, 0.029578114970099555, 0, 0.029534431073325366, 0, 0, , 0.02322756610912248
character, 0, 0, 0, 0, 0, 0.029578114970099555, 0, 0.029534431073325366, 0, 0, , 0.02322756610912248
check, 0, 0, 0, 0, 0, 0.029578114970099555, 0, 0.029534431073325366, 0, 0, , 0.02322756610912248
closable, 0, 0, 0, 0, 0, 0.029578114970099555, 0, 0.029534431073325366, 0, 0, , 0.02322756610912248
color, 0, 0, 0, 0, 0, 0.05915622994019911, 0, 0.05906886214665073, 0, 0, , 0.04645513221824496
component, 0, 0, 0, 0, 0, 0.029578114970099555, 0, 0.029534431073325366, 0, 0, , 0.02322756610912248
constraint, 0, 0.14759459464140234, 0, 0, 0.12645483186602774, 0.11503411669874357, 0, 0.11486422289433927, 0, 0, , 0.13936539665473488
constraints, 0, 0, 0, 0, 0, 0.17746868982059735, 0, 0.1772065864399522, 0, 0, , 0.13936539665473488
contents, 0, 0, 0, 0, 0, 0.029578114970099555, 0, 0.029534431073325366, 0, 0, , 0.02322756610912248
controller, 0, 0, 0, 0, 0, 0.23662491976079644, 0, 0.23627544858660293, 0, 0, , 0.18582052887297984
create, 0, 0, 0, 0, 0, 0.05915622994019911, 0, 0.05906886214665073, 0, 0, , 0.04645513221824496
delta, 0, 0, 0, 0, 0, 0.08873434491029868, 0, 0.0886032932199761, 0, 0, , 0.06968269832736744
dependency, 0, 0.2951891892828047, 0, 0, 0.2529096637320555, 0.1380409400384923, 0, 0.13783706747320712, 0, 0, , 0.18582052887297984
dependents, 0, 0, 0, 0, 0, 0, 0, 0, 0.5164739372802445, 0, , 0.01161378305456124
