, fg_01, fg_02, fg_03, fg_04, fg_05, fg_06, fg_07, fg_08, fg_09, fg_10, fg_11, fg_12, , 
answer, 0, 0, 1.0, 0, 0.4001279616130987, 0.4001279616130987, 0, 0.4001279616130987, 0, 0.29498645414632, 0, 0, , 0.6622661785325219
choice, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.9555014347818537, 0, 0, , 0.26490647141300877
command, 0, 0, 0, 0, 0, 0, 0, 0, 0.6231128431839633, 0, 0, 0, , 0.13245323570650439
essay, 0, 0, 0, 0, 0.6480345725095794, 0, 0, 0, 0, 0, 0, 0, , 0.13245323570650439
file, 0, 0, 0, 0, 0, 0, 0.5190584835624306, 0, 0, 0, 0, 0.5646793414504481, , 0.26490647141300877
line, 0, 0, 0, 0, 0, 0, 0, 0, 0.6231128431839633, 0, 0, 0, , 0.13245323570650439
load, 0, 0, 0, 0, 0, 0, 0.6043915496769748, 0, 0, 0, 0, 0, , 0.13245323570650439
main, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.7071067811865475, 0, , 0.13245323570650439
match, 0, 0, 0, 0, 0, 0, 0, 0.6480345725095794, 0, 0, 0, 0, , 0.13245323570650439
matching, 0, 0, 0, 0, 0, 0, 0, 0.6480345725095794, 0, 0, 0, 0, , 0.13245323570650439
program, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.7071067811865475, 0, , 0.13245323570650439
question, 0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0.13245323570650439
save, 0, 0, 0, 0, 0, 0, 0.6043915496769748, 0, 0, 0, 0, 0, , 0.13245323570650439
sheet, 0, 0, 0, 0, 0, 0.6480345725095794, 0, 0, 0, 0, 0, 0, , 0.13245323570650439
survey, 0, 0, 0, 1.0, 0, 0, 0, 0, 0, 0, 0, 0, , 0.13245323570650439
test, 0, 0, 0, 0, 0, 0.6480345725095794, 0, 0, 0, 0, 0, 0, , 0.13245323570650439
text, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.6575124635425807, , 0.13245323570650439
ui, 1.0, 0, 0, 0, 0, 0, 0, 0, 0.47271637301705055, 0, 0, 0.49881319311467176, , 0.39735970711951313
written, 0, 0, 0, 0, 0.6480345725095794, 0, 0, 0, 0, 0, 0, 0, , 0.13245323570650439
