, fg_1, fg_2, fg_3, fg_4, fg_5, fg_6, fg_7, , 
answer, 1.0, 0.5001197528739965, 0.522487522038407, 0.5131139806476178, 0.4973104845748772, 0.4973104845748772, 0.4640127793931528, , 0.5887022992242458
choice, 0, 0.37793429330286216, 0.2961280042425657, 0.29081540252930327, 0.2818585230734683, 0.2818585230734683, 0.2629865260105479, , 0.2943511496121229
essay, 0, 0, 0.33639890760430574, 0.3303638370021537, 0.3201888977146886, 0.3201888977146886, 0.298750468706543, , 0.24529262467676904
form, 0, 0, 0, 0.1885698534421811, 0.18276205429675624, 0.18276205429675624, 0.17052511743108387, , 0.09811704987070761
interface, 0, 0, 0, 0, 0, 0, 0.2768177697383621, , 0.024529262467676904
matching, 0, 0.37793429330286216, 0.2961280042425657, 0.29081540252930327, 0.2818585230734683, 0.2818585230734683, 0.2629865260105479, , 0.2943511496121229
multiple, 0, 0.37793429330286216, 0.2961280042425657, 0.29081540252930327, 0.2818585230734683, 0.2818585230734683, 0.2629865260105479, , 0.2943511496121229
question, 0, 0.5669014399542932, 0.5922560084851314, 0.5816308050586065, 0.5637170461469366, 0.5637170461469366, 0.5259730520210958, , 0.5641730367565688
survey, 0, 0, 0, 0, 0, 0.24627178891883839, 0.22978252179830844, , 0.04905852493535381
test, 0, 0, 0, 0, 0.24627178891883839, 0, 0.22978252179830844, , 0.04905852493535381
