, demo-design2_1, demo-design2_2, demo-design2_3, , overall
answer, 0.5384648358609427, 0.5619988607186299, 0.5619988607186299, , 0.565685424949238
choice, 0.26923241793047137, 0.28099943035931496, 0.28099943035931496, , 0.282842712474619
essay, 0.26923241793047137, 0.28099943035931496, 0.28099943035931496, , 0.282842712474619
form, 0.13461620896523568, 0.14049971517965748, 0.14049971517965748, , 0.1414213562373095
interface, 0.22792505466715726, 0, 0, , 0.04714045207910317
matching, 0.26923241793047137, 0.28099943035931496, 0.28099943035931496, , 0.282842712474619
multiple, 0.26923241793047137, 0.28099943035931496, 0.28099943035931496, , 0.282842712474619
question, 0.5384648358609427, 0.5619988607186299, 0.5619988607186299, , 0.565685424949238
survey, 0.17334287894595668, 0, 0.18091896442142627, , 0.09428090415820634
test, 0.17334287894595668, 0.18091896442142627, 0, , 0.09428090415820634
