, demo-design2_1, demo-design2_2, demo-design2_3, demo-design2_4, demo-design2_5, demo-design2_6, demo-design2_7, , 
answer, 0.4640127793931529, 0.4973104845748772, 0.4973104845748772, 0.5131139806476178, 0.522487522038407, 0.5001197528739965, 1.0, , 0.5887022992242458
choice, 0.26298652601054795, 0.2818585230734683, 0.2818585230734683, 0.29081540252930327, 0.2961280042425657, 0.37793429330286216, 0, , 0.2943511496121229
essay, 0.29875046870654304, 0.3201888977146886, 0.3201888977146886, 0.3303638370021537, 0.33639890760430574, 0, 0, , 0.24529262467676904
form, 0.17052511743108392, 0.18276205429675624, 0.18276205429675624, 0.1885698534421811, 0, 0, 0, , 0.09811704987070761
interface, 0.27681776973836214, 0, 0, 0, 0, 0, 0, , 0.024529262467676904
matching, 0.26298652601054795, 0.2818585230734683, 0.2818585230734683, 0.29081540252930327, 0.2961280042425657, 0.37793429330286216, 0, , 0.2943511496121229
multiple, 0.26298652601054795, 0.2818585230734683, 0.2818585230734683, 0.29081540252930327, 0.2961280042425657, 0.37793429330286216, 0, , 0.2943511496121229
question, 0.5259730520210959, 0.5637170461469366, 0.5637170461469366, 0.5816308050586065, 0.5922560084851314, 0.5669014399542932, 0, , 0.5641730367565688
survey, 0.2297825217983085, 0.24627178891883839, 0, 0, 0, 0, 0, , 0.04905852493535381
test, 0.2297825217983085, 0, 0.24627178891883839, 0, 0, 0, 0, , 0.04905852493535381
