, fg_01, fg_02, fg_03, fg_04, fg_05, fg_06, fg_07, fg_08, fg_09, fg_10, fg_11, fg_12, fg_13, fg_14, , 
abstract, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5740490772859499, , 0.03826393658966905
blue, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.6924798371701218, 0.6480532995164334, 0, , 0.0765278731793381
brown, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.7126254218230358, 0, 0, 0, , 0.03826393658966905
direction, 0, 0.6358773479024248, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0.03826393658966905
door, 0, 0, 0, 0, 0.8791835742664561, 0, 0, 0, 0, 0, 0.6167866032171447, 0, 0, 0, , 0.0765278731793381
factory, 0, 0, 0, 0, 0, 0.6843399508182014, 0, 0, 0.5456055531303737, 0, 0, 0, 0.5211898744923477, 0.39958381403399296, , 0.1530557463586762
game, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5740490772859499, , 0.03826393658966905
green, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.7426637640240351, 0, 0, 0, 0, , 0.03826393658966905
map, 0.671151412965963, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0.03826393658966905
maze, 0.22261127750810666, 0.42182275421121507, 0.3678422538404392, 0.8944271909999159, 0.3369245039619847, 0.6521833065720964, 0.27971507792465816, 0.27971507792465816, 0.5199679388865523, 0.24633089653758036, 0.23636761015777616, 0.2653750962498173, 0.49669953550412327, 0.38080765674691625, , 0.765278731793381
red, 0, 0, 0, 0, 0, 0, 0.6494301157026847, 0.6494301157026847, 0.6036192993567113, 0, 0, 0, 0, 0, , 0.11479180976900714
room, 0, 0.4896847215136576, 0, 0, 0, 0, 0, 0.6494301157026847, 0, 0.5719201976042078, 0, 0, 0, 0, , 0.11479180976900714
site, 0.671151412965963, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0.03826393658966905
src, 0.22261127750810666, 0.42182275421121507, 0.3678422538404392, 0.4472135954999579, 0.3369245039619847, 0.3260916532860482, 0.27971507792465816, 0.27971507792465816, 0.2599839694432762, 0.24633089653758036, 0.23636761015777616, 0.2653750962498173, 0.24834976775206163, 0.19040382837345812, , 0.5739590488450358
wall, 0, 0, 0.8540399010462987, 0, 0, 0, 0.6494301157026847, 0, 0, 0, 0, 0.6161361795038836, 0, 0, , 0.11479180976900714
