, fg_01, fg_02, fg_03, fg_04, fg_05, fg_06, fg_07, fg_08, fg_09, fg_10, fg_11, fg_12, fg_13, fg_14, , 
abstract, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5883857870615451, , 0.10976425998969035
blue, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.7470885845221461, 0.6763400567612999, 0, , 0.2195285199793807
brown, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.7561206270556105, 0, 0, 0, , 0.10976425998969035
direction, 0, 0.792293714601179, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0.10976425998969035
door, 0, 0, 0, 0, 1.0, 0, 0, 0, 0, 0, 0.6544322710113175, 0, 0, 0, , 0.2195285199793807
factory, 0, 0, 0, 0, 0, 0.7384563257131515, 0, 0, 0.5718715515036432, 0, 0, 0, 0.5439391938295817, 0.4095633042892785, , 0.4390570399587614
game, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.5883857870615451, , 0.10976425998969035
green, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.792293714601179, 0, 0, 0, 0, , 0.10976425998969035
map, 0.7071067811865475, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0.10976425998969035
maze, 0, 0, 0, 1.0, 0, 0.6743013087739278, 0, 0, 0.5221889530935814, 0, 0, 0, 0.4966832804072897, 0.3739815917228814, , 0.5488212999484517
red, 0, 0, 0, 0, 0, 0, 0.7071067811865475, 0.7071067811865475, 0.632678137640179, 0, 0, 0, 0, 0, , 0.329292779969071
room, 0, 0.6101398772441163, 0, 0, 0, 0, 0, 0.7071067811865475, 0, 0.6101398772441163, 0, 0, 0, 0, , 0.329292779969071
site, 0.7071067811865475, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, , 0.10976425998969035
wall, 0, 0, 1.0, 0, 0, 0, 0.7071067811865475, 0, 0, 0, 0, 0.6647244894516043, 0, 0, , 0.329292779969071
