, fg_01, fg_02, fg_03, fg_04, fg_05, fg_06, fg_07, fg_08, fg_09, fg_10, fg_11, fg_12, fg_13, fg_14, , 
abstract, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.10395699239278801, , 0.008147602757602897
blue, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.38695922689275974, 0.23200959995096523, 0.16011311312530463, , 0.04073801378801449
brown, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.2712877519051639, 0, 0.11600479997548262, 0.08005655656265231, , 0.024442808272808696
direction, 0, 0.2706503534332226, 0, 0.19226898219931415, 0.20577409256892465, 0.10858001269342249, 0, 0.1911327760998009, 0.06997562874588943, 0.18915762579753204, 0.15308628884496586, 0, 0.06546091444134669, 0.045175504812940505, , 0.08147602757602898
door, 0, 0, 0, 0, 0.2767632761254753, 0.14603859824925067, 0, 0, 0.09411624184014038, 0, 0.41179783423350097, 0, 0.1760880285052225, 0.12152084411174066, , 0.07332842481842608
factory, 0, 0, 0, 0, 0, 0.1739239719054897, 0, 0, 0.2241745784729735, 0, 0, 0, 0.20971119751755443, 0.2894493391555163, , 0.07332842481842608
game, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.10395699239278801, , 0.008147602757602897
green, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.33521060210885234, 0, 0, 0.11600479997548262, 0.08005655656265231, , 0.024442808272808696
map, 0.5, 0.20657889199685228, 0.281134486872679, 0.14675285956312858, 0.1570608850323718, 0.08287570450465198, 0.16899792804405353, 0.1458856292264964, 0.05341019388942169, 0.144378059198251, 0.11684594358863754, 0.1666666323086352, 0.049964254629102596, 0.03448104024722167, , 0.11406643860644057
maze, 0.5, 0.6197366759905568, 0.562268973745358, 0.7337642978156429, 0.6282435401294872, 0.7458813405418678, 0.5069937841321606, 0.5835425169059856, 0.694332520562482, 0.577512236793004, 0.5842297179431877, 0.49999989692590563, 0.6994995648074364, 0.6896208049444333, , 0.7332842481842609
red, 0, 0, 0, 0, 0, 0, 0.3546611285526997, 0.30615737423480494, 0.33626186770946026, 0, 0, 0, 0, 0.21708700436663725, , 0.06518082206082318
room, 0, 0.2706503534332226, 0, 0.19226898219931415, 0.20577409256892465, 0.10858001269342249, 0, 0.3822655521996018, 0.13995125749177886, 0.3783152515950641, 0.15308628884496586, 0, 0.13092182888269338, 0.13552651443882152, , 0.13036164412164636
site, 0.5, 0.20657889199685228, 0.281134486872679, 0.14675285956312858, 0.1570608850323718, 0.08287570450465198, 0.16899792804405353, 0.1458856292264964, 0.05341019388942169, 0.144378059198251, 0.11684594358863754, 0.1666666323086352, 0.049964254629102596, 0.03448104024722167, , 0.11406643860644057
src, 0.5, 0.6197366759905568, 0.562268973745358, 0.5870114382525143, 0.6282435401294872, 0.5801299315325639, 0.5069937841321606, 0.5835425169059856, 0.5341019388942169, 0.577512236793004, 0.5842297179431877, 0.49999989692590563, 0.5496068009201286, 0.517215603708325, , 0.6192178095778202
wall, 0, 0, 0.45785805978311084, 0, 0, 0.13497209001200608, 0.5504629780739697, 0, 0.17396860853948026, 0, 0, 0.5428694412292163, 0.16274443550108186, 0.16846836219754982, , 0.10591883584883767
